"","recordTime","cognitoId","device","sensorname","x","y","z"
"1",1423452116.988,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAccG",0.268000941483874,-9.58294192850962,1.55682961695851
"2",1423452117.322,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAccG",0.0466869323730469,-2.8968343711853,-9.68200194913335
"3",1423452117.664,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAccG",0.130633628082275,-3.17935016708374,-9.52054326693751
"4",1423452118,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAccG",0.142305361175537,-3.21122297668457,-9.65790992960185
"5",1423452118.335,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAccG",0.1402104347229,-3.21167218175679,-9.68888505971059
"6",1423452118.671,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAccG",-0.386513930511475,-4.3846813576296,-8.12771608581543
"7",1423452119.004,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAccG",2.02654214078374,-3.71056336816996,-8.88832387959584
"8",1423452119.342,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAccG",1.51119019690249,-3.87501509470195,-8.9272300949648
"9",1423452119.676,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAccG",1.2641384765625,-4.36702368199453,-9.76145944366455
"10",1423452120.041,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAccG",0.677259794616699,-4.91469745788574,-8.43447331965342
"11",1423452120.376,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAccG",1.25545964167491,-5.27293002741709,-9.34232451553345
"12",1423452120.71,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAccG",0.183006789398193,-5.66976866032705,-8.60820243148804
"13",1423452121.043,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAccG",-0.219668002319336,-5.81297184712514,-7.51509958989248
"14",1423452121.379,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAccG",0.632518151092529,-7.32146862195888,-8.52859551854879
"15",1423452121.715,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAccG",1.78233364451304,-6.87315412363261,-6.68610726506337
"16",1423452122.049,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAccG",2.55925186403804,-7.46093114265762,-7.82933870391846
"17",1423452122.383,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAccG",1.28269339329824,-8.35965466390401,-4.55272409439087
"18",1423452122.717,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAccG",0.00209492645263672,-7.14474666671753,-4.88162769358531
"19",1423452123.051,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAccG",-1.47707264058217,-7.60548084869385,-7.86181035619527
"20",1423452123.388,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAccG",-3.7825394391709,-8.0772882316147,-7.31967287938222
"21",1423452123.722,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAccG",-2.73343007134702,-7.1561189784728,-7.17781686940938
"22",1423452124.056,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAccG",-2.96147792560738,-6.39117169418335,-6.16895972473593
"23",1423452124.392,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAccG",-0.5232827003479,-8.12337652224116,-4.85633886548467
"24",1423452124.726,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAccG",-2.68315187301636,-5.85831247945577,-7.60188954620361
"25",1423452125.062,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAccG",-0.254533563995361,-6.99002114696791,-6.99017087590322
"26",1423452125.397,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAccG",0.53016603012085,-6.45820926760249,-7.9599724781312
"27",1423452125.732,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAccG",0.0700303985595703,-6.45147550236806,-6.91475345054306
"28",1423452126.068,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAccG",1.78218386077881,-5.08079505192861,-8.47996293200068
"29",1423452126.401,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAccG",1.33162503585815,-4.61213036921397,-8.13849025814761
"30",1423452126.776,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAccG",1.24214174880981,-3.79675492019653,-11.6189110191345
