"","recordTime","cognitoId","device","sensorname","alpha","beta","gamma"
"1",1423452116.988,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",136.1925565831,99.2357807167155,-10.8880689457206
"2",1423452117.322,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",194.13178781182,95.2459811835646,-68.312420925468
"3",1423452117.664,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",199.062224094198,96.6152979751218,-73.6798499754489
"4",1423452118,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",114.068423472912,57.3261537780131,9.05632805257379
"5",1423452118.335,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",117.365658543359,41.1884571496025,4.24910863656153
"6",1423452118.671,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",116.90606247932,51.6332125416345,6.6839471880731
"7",1423452119.004,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",115.394853373231,38.290589284058,17.6073717344246
"8",1423452119.342,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",114.528166026508,43.5690716897199,15.2137975973389
"9",1423452119.676,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",106.037823296171,42.0134536519579,15.9478489269602
"10",1423452120.041,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",94.4998417862167,48.4265484100163,13.9106479239123
"11",1423452120.376,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",82.2709761297682,43.1409404048709,23.084060645637
"12",1423452120.71,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",76.9844311864911,52.4788537501304,18.134580679988
"13",1423452121.043,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",69.985152976203,53.2730582315405,19.0976374695101
"14",1423452121.379,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",60.9690988563732,50.1317659016604,26.5225177658791
"15",1423452121.715,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",50.4417830229538,52.2043724436188,35.7595558452101
